Name,Price,Rank
Bitcoin,"$16,943.52",Rank #1
,$0.0001552,Rank #40
VeChain,$0.01648,Rank #36
,$1.48,Rank #34
,$3.92,Rank #37
Hedera,$0.03914,Rank #38
,$0.9993,Rank #41
,$1.57,Rank #33
EOS,$0.8938,Rank #39
ApeCoin,$4.03,Rank #30
Celo,$0.5119,Rank #100
Quant,$112.84,Rank #32
Algorand,$0.1893,Rank #31
Cronos,$0.06057,Rank #29
OKB,$27.20,Rank #28
Helium,$1.84,Rank #98
Optimism,$1.10,Rank #95
Chain,$0.01176,Rank #97
Balancer,$5.40,Rank #98
Holo,$0.001487,Rank #96
NEM,$0.02916,Rank #93
Decred,$18.65,Rank #91
,$0.18,Rank #92
Zilliqa,$0.01748,Rank #89
Stacks,$0.2188,Rank #87
Loopring,$0.2082,Rank #89
,$0.5483,Rank #88
,$0.2624,Rank #94
,$0.3979,Rank #84
Filecoin,$3.34,Rank #35
Casper,$0.02792,Rank #86
,$0.4233,Rank #82
,$3.17,Rank #81
Osmosis,$0.7238,Rank #78
Mina,$0.4517,Rank #77
,$3.27,Rank #79
,$5.17,Rank #76
Stellar,$0.07469,Rank #27
,$1.64,Rank #74
Nexo,$0.7217,Rank #75
,$1.38,Rank #72
,$0.9989,Rank #73
eCash,,Rank #70
Klaytn,$0.1606,Rank #69
Neo,$6.55,Rank #71
Aptos,$3.84,Rank #68
,$0.4385,Rank #85
,"$1,856.27",Rank #67
,$0.02591,Rank #83
GMX,$41.84,Rank #80
Maker,$540.78,Rank #64
Fantom,$0.2269,Rank #58
,$0.06213,Rank #62
,,Rank #60
,$0.3478,Rank #57
,$6.64,Rank #56
,$6.97,Rank #54
,$0.468,Rank #53
USDD,$0.9756,Rank #52
IOTA,$0.1823,Rank #66
Tezos,$0.7823,Rank #51
,$3.32,Rank #63
Dash,$46.72,Rank #65
Chiliz,$0.1092,Rank #50
Flow,$0.7005,Rank #50
,$1.01,Rank #59
,$0.762,Rank #48
,$1.42,Rank #61
,$4.72,Rank #47
Aave,$56.18,Rank #46
,$43.05,Rank #44
,$101.68,Rank #26
,$20.17,Rank #24
Zcash,$41.08,Rank #55
,$34.49,Rank #45
TrueUSD,$0.9998,Rank #43
BitDAO,$0.418,Rank #42
Toncoin,$2.17,Rank #25
Monero,$154.81,Rank #23
,$5.77,Rank #22
,$3.46,Rank #19
,$11.80,Rank #18
,,Rank #16
Uniswap,$5.49,Rank #17
TRON,$0.05208,Rank #15
Solana,$13.27,Rank #14
Polygon,$0.8032,Rank #10
Cardano,$0.2772,Rank #9
Polkadot,$4.68,Rank #13
Dogecoin,$0.0723,Rank #8
BNB,$261.53,Rank #5
XRP,$0.3431,Rank #6
,$1.00,Rank #7
Ethereum,"$1,265.23",Rank #2
,$1.00,Rank #4
,"$16,922.04",Rank #20
Cosmos,$10.28,Rank #21
Litecoin,$75.93,Rank #12
Dai,$0.9997,Rank #11
Tether,$0.9998,Rank #3
