Coin,Volume (24h),Last Price,Change (24h)
BTC/USD,1 366.10 BTC,8 725.46200 USD,
LTC/BTC,117.70 BTC,0.00644157 BTC,
BTC/USDT,81.56 BTC,8 744.61193000 USDT,
XLM/BTC,37.63 BTC,0.00000620 BTC,
XSN/BTC,33.22 BTC,0.00000680 BTC,
BTC/EUR,17.10 BTC,8 091.83710 EUR,
ROOBEE/BTC,12.62 BTC,0.00000034 BTC,
MLGC/BTC,9.06 BTC,0.00004183 BTC,
BAT/BTC,7.21 BTC,0.00002462 BTC,
ZEC/BTC,5.02 BTC,0.00542295 BTC,
LSK/BTC,4.37 BTC,0.00007596 BTC,
ETC/BTC,3.24 BTC,0.00086267 BTC,
SCT/BTC,2.46 BTC,0.00000079 BTC,
XEM/BTC,1.70 BTC,0.00000409 BTC,
INCNT/BTC,1.61 BTC,0.00001558 BTC,
XAUR/BTC,1.30 BTC,0.00000432 BTC,
VMR/BTC,1.14 BTC,0.00003147 BTC,
ZRX/BTC,1.04 BTC,0.00002687 BTC,
HEDG/BTC,1.03 BTC,0.00026450 BTC,
PPY/BTC,0.95 BTC,0.00002337 BTC,
JNB/BTC,0.78 BTC,0.01301679 BTC,
NEO/BTC,0.53 BTC,0.00127256 BTC,
OD/BTC,0.44 BTC,0.00010712 BTC,
TRX/BTC,0.43 BTC,0.00000189 BTC,
PLBT/BTC,0.37 BTC,0.00007870 BTC,
SYS/BTC,0.35 BTC,0.00000292 BTC,
PTI/BTC,0.31 BTC,0.00000060 BTC,
PLA/BTC,0.25 BTC,0.00002263 BTC,
YOC/BTC,0.23 BTC,0.00000006 BTC,
DOGE/BTC,0.19 BTC,0.00000027 BTC,
CPC/BTC,0.18 BTC,0.00000244 BTC,
REP/BTC,0.16 BTC,0.00182270 BTC,
DOLLAR/BTC,0.16 BTC,0.00003602 BTC,
TNS/BTC,0.13 BTC,0.00000024 BTC,
XFC/BTC,0.12 BTC,0.00000036 BTC,
BLK/BTC,0.11 BTC,0.00000540 BTC,
LINK/BTC,0.10 BTC,0.00027395 BTC,
NVC/BTC,0.09 BTC,0.00003812 BTC,
PELO/BTC,0.08 BTC,0.00000168 BTC,
UTNP/BTC,0.06 BTC,0.00000024 BTC,
LEO/BTC,0.05 BTC,0.00000029 BTC,
HB/BTC,0.05 BTC,0.00000026 BTC,
MNE/BTC,0.05 BTC,0.00000153 BTC,
ASAFE2/BTC,0.05 BTC,0.00000212 BTC,
CCRB/BTC,0.04 BTC,0.00000075 BTC,
KNC/BTC,0.04 BTC,0.00003078 BTC,
PPC/BTC,0.04 BTC,0.00002231 BTC,
DCR/BTC,0.04 BTC,0.00198139 BTC,
ANT/BTC,0.04 BTC,0.00006381 BTC,
MTL/BTC,0.04 BTC,0.00003082 BTC,
